,TEAM,FROM,TO,URL
7647,Indiana Pacers,1975,1976,/players/k/knighbi01.html
7648,Indiana Pacers,1977,1983,/players/k/knighbi01.html
7649,Buffalo Braves,1978,1978,/players/k/knighbi01.html
7650,Boston Celtics,1979,1979,/players/k/knighbi01.html
7651,Kansas City Kings,1984,1985,/players/k/knighbi01.html
7652,San Antonio Spurs,1985,1985,/players/k/knighbi01.html
7653,New York Knicks,1955,1955,/players/k/knighbo01.html
7654,Houston Rockets,2005,2005,/players/k/knighbr02.html
7655,Detroit Pistons,2012,2013,/players/k/knighbr03.html
7656,Milwaukee Bucks,2014,2015,/players/k/knighbr03.html
7657,Phoenix Suns,2015,2016,/players/k/knighbr03.html
7658,Phoenix Suns,2017,2017,/players/k/knighbr03.html
7659,Houston Rockets,2019,2019,/players/k/knighbr03.html
7660,Cleveland Cavaliers,2019,2020,/players/k/knighbr03.html
7661,Detroit Pistons,2020,2020,/players/k/knighbr03.html
7662,Dallas Mavericks,2022,2022,/players/k/knighbr03.html
7663,Cleveland Cavaliers,1998,2001,/players/k/knighbr01.html
7664,Atlanta Hawks,2001,2001,/players/k/knighbr01.html
7665,Memphis Grizzlies,2002,2003,/players/k/knighbr01.html
7666,Phoenix Suns,2004,2004,/players/k/knighbr01.html
7667,Washington Wizards,2004,2004,/players/k/knighbr01.html
7668,Milwaukee Bucks,2004,2004,/players/k/knighbr01.html
7669,Charlotte Bobcats,2005,2007,/players/k/knighbr01.html
7670,Los Angeles Clippers,2008,2008,/players/k/knighbr01.html
7671,Utah Jazz,2009,2009,/players/k/knighbr01.html
7672,Atlanta Hawks,2021,2021,/players/k/knighna01.html
7673,Minnesota Timberwolves,2022,2022,/players/k/knighna01.html
7674,Phoenix Suns,1991,1992,/players/k/knighne01.html
7675,Phoenix Suns,1993,1994,/players/k/knighne01.html
7676,San Antonio Spurs,1994,1994,/players/k/knighne01.html
7677,Portland Trail Blazers,1995,1995,/players/k/knighne01.html
7678,Detroit Pistons,1995,1995,/players/k/knighne01.html
7679,Toronto Raptors,1999,1999,/players/k/knighne01.html
7680,Portland Trail Blazers,1971,1972,/players/k/knighro01.html
7681,New York Knicks,1978,1979,/players/k/knighto01.html
7682,New York Knicks,1980,1982,/players/k/knighto01.html
7683,Los Angeles Lakers,1997,2000,/players/k/knightr01.html
7684,Boston Celtics,1998,1998,/players/k/knightr01.html
7685,New York Knicks,2001,2003,/players/k/knightr01.html
7686,New York Knicks,1947,1947,/players/k/knorele01.html
7687,New York Knicks,1947,1949,/players/k/knorele01.html
7688,Baltimore Bullets,1950,1950,/players/k/knorele01.html
7689,Syracuse Nationals,1954,1954,/players/k/knostdi01.html
7690,Phoenix Suns,1969,1969,/players/k/knowlro01.html
7691,New York Nets,1969,1969,/players/k/knowlro01.html
7692,New York Knicks,2019,2022,/players/k/knoxke01.html
7693,Atlanta Hawks,2022,2022,/players/k/knoxke01.html
7694,Utah Jazz,1988,1989,/players/k/kofoeba01.html
7695,Golden State Warriors,1991,1991,/players/k/kofoeba01.html
7696,Seattle SuperSonics,1992,1992,/players/k/kofoeba01.html
7697,Boston Celtics,1993,1993,/players/k/kofoeba01.html
7698,Baltimore Bullets,1964,1964,/players/k/kojisdo01.html
7699,Detroit Pistons,1965,1966,/players/k/kojisdo01.html
7700,Chicago Bulls,1967,1967,/players/k/kojisdo01.html
7701,San Diego Rockets,1968,1970,/players/k/kojisdo01.html
7702,Seattle SuperSonics,1971,1972,/players/k/kojisdo01.html
7703,Kansas City-Omaha Kings,1973,"Omaha Kings, 1973-1975",/players/k/kojisdo01.html
7704,New York Knicks,1965,1969,/players/k/komivho01.html
7705,Detroit Pistons,1969,1972,/players/k/komivho01.html
7706,Buffalo Braves,1973,1973,/players/k/komivho01.html
7707,Kansas City-Omaha Kings,1974,"Omaha Kings, 1974",/players/k/komivho01.html
7708,Atlanta Hawks,1986,1995,/players/k/koncajo01.html
7709,Orlando Magic,1996,1996,/players/k/koncajo01.html
7710,Memphis Grizzlies,2020,2022,/players/k/konchjo01.html
7711,Minnesota Pipers,1969,1969,/players/k/kondlto01.html
7712,Minnesota Pipers,1969,1969,/players/k/kondlto01.html
7713,Houston Mavericks,1969,1969,/players/k/kondlto01.html
7714,San Francisco Warriors,1965,1965,/players/k/koperbu01.html
7715,Washington Bullets,1983,1984,/players/k/kopicjo01.html
7716,Denver Nuggets,1985,1985,/players/k/kopicjo01.html
7717,Philadelphia 76ers,2018,2022,/players/k/korkmfu01.html
7718,Milwaukee Bucks,1990,1991,/players/k/kornefr01.html
7719,New York Knicks,2018,2019,/players/k/kornelu01.html
7720,Chicago Bulls,2020,2021,/players/k/kornelu01.html
7721,Boston Celtics,2021,2022,/players/k/kornelu01.html
7722,Cleveland Cavaliers,2022,2022,/players/k/kornelu01.html
7723,Milwaukee Bucks,2022,2022,/players/k/kornelu01.html
7724,Los Angeles Clippers,2006,2007,/players/k/korolya01.html
7725,Philadelphia 76ers,2004,2008,/players/k/korveky01.html
7726,Utah Jazz,2008,2010,/players/k/korveky01.html
7727,Chicago Bulls,2011,2012,/players/k/korveky01.html
7728,Atlanta Hawks,2013,2015,/players/k/korveky01.html
7729,Atlanta Hawks,2016,2017,/players/k/korveky01.html
7730,Cleveland Cavaliers,2017,2019,/players/k/korveky01.html
7731,Utah Jazz,2019,2019,/players/k/korveky01.html
7732,Milwaukee Bucks,2020,2020,/players/k/korveky01.html
7733,New York Nets,1969,1969,/players/k/koskito01.html
7734,Kansas City-Omaha Kings,1975,"Omaha Kings, 1975",/players/k/kosmale01.html
7735,Kansas City Kings,1976,1976,/players/k/kosmale01.html
7736,Indianapolis Jets,1949,1949,/players/k/kostean01.html
7737,Boston Celtics,1947,1947,/players/k/kottmha01.html
7738,Utah Jazz,2009,2010,/players/k/koufoko01.html
7739,Minnesota Timberwolves,2011,2011,/players/k/koufoko01.html
7740,Denver Nuggets,2011,2013,/players/k/koufoko01.html
7741,Memphis Grizzlies,2014,2015,/players/k/koufoko01.html
7742,Sacramento Kings,2016,2019,/players/k/koufoko01.html
7743,Capital Bullets,1974,1974,/players/k/kozelto01.html
7744,Washington Bullets,1975,1976,/players/k/kozelto01.html
7745,Indiana Pacers,1968,1968,/players/k/kozliro01.html
7746,Denver Nuggets,1980,1980,/players/k/kramear01.html
7747,San Francisco Warriors,1965,1965,/players/k/krameba01.html
7748,New York Knicks,1965,1965,/players/k/krameba01.html
7749,New York Nets,1970,1970,/players/k/krameba01.html
7750,Phoenix Suns,1979,1983,/players/k/kramejo01.html
7751,Anaheim Amigos,1968,1968,/players/k/kramest01.html
7752,Houston Mavericks,1969,1969,/players/k/kramest01.html
7753,Carolina Cougars,1970,1970,/players/k/kramest01.html
7754,Baltimore Bullets,1949,1949,/players/k/krausda01.html
7755,Baltimore Bullets,1949,1949,/players/k/krauthe01.html
7756,Detroit Pistons,2013,2013,/players/k/kravtvi01.html
7757,Phoenix Suns,2014,2014,/players/k/kravtvi01.html
7758,Minneapolis Lakers,1958,1960,/players/k/krebsji01.html
7759,Los Angeles Lakers,1961,1964,/players/k/krebsji01.html
7760,Oklahoma City Thunder,2022,2022,/players/k/krejcvi01.html
7761,Boston Celtics,1981,1981,/players/k/kreklwa01.html
7762,St. Louis Hawks,1967,1967,/players/k/kronto01.html
7763,Seattle SuperSonics,1968,1969,/players/k/kronto01.html
7764,Kentucky Colonels,1970,1970,/players/k/kronto01.html
7765,Washington Bullets,1976,1976,/players/k/kroppto01.html
7766,Chicago Bulls,1977,1977,/players/k/kroppto01.html
7767,New Jersey Nets,2005,2008,/players/k/krstine01.html
7768,Oklahoma City Thunder,2009,2011,/players/k/krstine01.html
7769,Boston Celtics,2011,2011,/players/k/krstine01.html
7770,San Antonio Spurs,1987,1987,/players/k/krystla01.html
7771,Milwaukee Bucks,1988,1992,/players/k/krystla01.html
7772,Utah Jazz,1993,1993,/players/k/krystla01.html
7773,Orlando Magic,1994,1994,/players/k/krystla01.html
7774,Chicago Bulls,1995,1995,/players/k/krystla01.html
7775,Los Angeles Lakers,1997,1997,/players/k/krystla01.html
7776,Boston Celtics,1970,1974,/players/k/kuberst01.html
7777,Milwaukee Bucks,1975,1975,/players/k/kuberst01.html
7778,Buffalo Braves,1976,1976,/players/k/kuberst01.html
7779,Boston Celtics,1976,1978,/players/k/kuberst01.html
7780,Waterloo Hawks,1950,1950,/players/k/kubiale01.html
7781,New Jersey Nets,1984,1984,/players/k/kuczebr01.html
7782,Philadelphia 76ers,1984,1984,/players/k/kuczebr01.html
7783,Indiana Pacers,1984,1984,/players/k/kuczebr01.html
7784,Chicago Stags,1950,1950,/players/k/kudelfr01.html
7785,Washington Capitols,1951,1951,/players/k/kudelfr01.html
7786,Washington Capitols,1951,1951,/players/k/kudelfr01.html
7787,Boston Celtics,1951,1951,/players/k/kudelfr01.html
7788,Baltimore Bullets,1952,1952,/players/k/kudelfr01.html
7789,Philadelphia Warriors,1953,1953,/players/k/kudelfr01.html
7790,Kansas City Kings,1978,1978,/players/k/kuestjo01.html
7791,Denver Nuggets,1979,1979,/players/k/kuestjo01.html
7792,Indiana Pacers,1980,1980,/players/k/kuestjo01.html
7793,New York Knicks,1948,1949,/players/k/kukara01.html
7794,Chicago Bulls,1994,2000,/players/k/kukocto01.html
7795,Philadelphia 76ers,2000,2001,/players/k/kukocto01.html
7796,Atlanta Hawks,2001,2002,/players/k/kukocto01.html
7797,Milwaukee Bucks,2003,2006,/players/k/kukocto01.html
7798,Charlotte Hornets,2022,2022,/players/k/kulboar01.html
7799,Golden State Warriors,2022,2022,/players/k/kuminjo01.html
7800,Buffalo Braves,1974,1974,/players/k/kunneke01.html
7801,Houston Rockets,1974,1976,/players/k/kunneke01.html
7802,Houston Rockets,1977,1978,/players/k/kunneke01.html
7803,San Diego Clippers,1979,1979,/players/k/kunneke01.html
7804,Portland Trail Blazers,1980,1982,/players/k/kunneke01.html
7805,Minnesota Muskies,1968,1968,/players/k/kunzete01.html
7806,Washington Bullets,1977,1981,/players/k/kupchmi01.html
7807,Los Angeles Lakers,1982,1982,/players/k/kupchmi01.html
7808,Los Angeles Lakers,1984,1986,/players/k/kupchmi01.html
7809,Los Angeles Lakers,1976,1977,/players/k/kupeccj01.html
7810,Houston Rockets,1978,1978,/players/k/kupeccj01.html
7811,Brooklyn Nets,2019,2021,/players/k/kurucro01.html
7812,Houston Rockets,2021,2021,/players/k/kurucro01.html
7813,Milwaukee Bucks,2021,2021,/players/k/kurucro01.html
7814,Golden State Warriors,2009,2009,/players/k/kurzro01.html
7815,Seattle SuperSonics,2005,2005,/players/k/kutluib01.html
7816,Los Angeles Lakers,2018,2021,/players/k/kuzmaky01.html
7817,Washington Wizards,2022,2022,/players/k/kuzmaky01.html
7818,Golden State Warriors,2014,2015,/players/k/kuzmiog01.html
7819,New York Knicks,2017,2018,/players/k/kuzmimi01.html
7820,St. Louis Hawks,1961,1962,/players/l/lacoufr01.html
7821,San Francisco Warriors,1963,1963,/players/l/lacoufr01.html
7822,Denver Nuggets,1999,2002,/players/l/lafrera01.html
7823,Dallas Mavericks,2002,2003,/players/l/lafrera01.html
7824,Boston Celtics,2004,2006,/players/l/lafrera01.html
7825,Portland Trail Blazers,2007,2008,/players/l/lafrera01.html
7826,Denver Nuggets,1978,1978,/players/l/lagarto01.html
7827,Seattle SuperSonics,1979,1980,/players/l/lagarto01.html
7828,Dallas Mavericks,1981,1982,/players/l/lagarto01.html
7829,New Jersey Nets,1985,1985,/players/l/lagarto01.html
7830,Chicago Bulls,1998,2000,/players/l/larueru01.html
7831,Utah Jazz,2002,2002,/players/l/larueru01.html
7832,Golden State Warriors,2004,2004,/players/l/larueru01.html
7833,Minneapolis Lakers,1960,1960,/players/l/larusru01.html
7834,Los Angeles Lakers,1961,1967,/players/l/larusru01.html
7835,San Francisco Warriors,1968,1969,/players/l/larusru01.html
7836,Minnesota Timberwolves,2015,2017,/players/l/lavinza01.html
7837,Chicago Bulls,2018,2022,/players/l/lavinza01.html
7838,Sacramento Kings,2017,2017,/players/l/labissk01.html
7839,Sacramento Kings,2018,2019,/players/l/labissk01.html
7840,Portland Trail Blazers,2019,2020,/players/l/labissk01.html
7841,Kentucky Colonels,1969,1969,/players/l/lacefre01.html
7842,Los Angeles Stars,1969,1969,/players/l/laceyed01.html
7843,Cincinnati Royals,1971,1972,/players/l/laceysa01.html
7844,Kansas City-Omaha Kings,1973,"Omaha Kings, 1973-1975",/players/l/laceysa01.html
7845,Kansas City Kings,1976,1982,/players/l/laceysa01.html
7846,New Jersey Nets,1982,1982,/players/l/laceysa01.html
7847,Cleveland Cavaliers,1983,1983,/players/l/laceysa01.html
7848,New York Nets,1973,1974,/players/l/lackebo01.html
7849,Memphis Pros,1971,1972,/players/l/ladnewe01.html
7850,Carolina Cougars,1972,1972,/players/l/ladnewe01.html
7851,Memphis Tams,1973,1973,/players/l/ladnewe01.html
7852,Kentucky Colonels,1973,1974,/players/l/ladnewe01.html
7853,New York Nets,1974,1975,/players/l/ladnewe01.html
7854,Minnesota Timberwolves,1993,1996,/players/l/laettch01.html
7855,Atlanta Hawks,1996,1998,/players/l/laettch01.html
7856,Detroit Pistons,1999,2000,/players/l/laettch01.html
7857,Dallas Mavericks,2001,2001,/players/l/laettch01.html
7858,Washington Wizards,2001,2004,/players/l/laettch01.html
7859,Miami Heat,2005,2005,/players/l/laettch01.html
7860,Boston Celtics,2010,2010,/players/l/lafayol01.html
7861,Cleveland Cavaliers,1981,1981,/players/l/laimbbi01.html
7862,Cleveland Cavaliers,1982,1982,/players/l/laimbbi01.html
7863,Detroit Pistons,1982,1994,/players/l/laimbbi01.html
7864,San Diego Conquistadors,1974,1975,/players/l/lamarbo01.html
7865,San Diego Sails,1976,1976,/players/l/lamarbo01.html
7866,Indiana Pacers,1976,1976,/players/l/lamarbo01.html
7867,Los Angeles Lakers,1977,1977,/players/l/lamarbo01.html
7868,Houston Rockets,2021,2021,/players/l/lamban01.html
7869,San Antonio Spurs,2022,2022,/players/l/lamban01.html
7870,Milwaukee Bucks,2013,2013,/players/l/lambdo01.html
7871,Orlando Magic,2013,2014,/players/l/lambdo01.html
7872,Oklahoma City Thunder,2013,2015,/players/l/lambje01.html
7873,Charlotte Hornets,2016,2019,/players/l/lambje01.html
7874,Indiana Pacers,2020,2022,/players/l/lambje01.html
7875,Sacramento Kings,2022,2022,/players/l/lambje01.html
7876,Cleveland Cavaliers,1976,1981,/players/l/lambejo01.html
7877,Kansas City Kings,1981,1982,/players/l/lambejo01.html
7878,San Antonio Spurs,1982,1982,/players/l/lambejo01.html
7879,Portland Trail Blazers,1982,1984,/players/l/lampje01.html
7880,Milwaukee Bucks,1986,1986,/players/l/lampje01.html
7881,San Antonio Spurs,1986,1986,/players/l/lampje01.html
7882,Los Angeles Lakers,1988,1989,/players/l/lampje01.html
7883,Phoenix Suns,2004,2005,/players/l/lampema01.html
7884,New Orleans Hornets,2005,2005,/players/l/lampema01.html
7885,New Orleans/Oklahoma City Hornets,2006,2006,/players/l/lampema01.html
7886,Houston Rockets,2006,2006,/players/l/lampema01.html
7887,Philadelphia 76ers,1987,1987,/players/l/lamplji01.html
7888,Miami Heat,2003,2003,/players/l/lamplse01.html
7889,Golden State Warriors,2004,2004,/players/l/lamplse01.html
7890,San Antonio Spurs,2022,2022,/players/l/landajo01.html
7891,Houston Rockets,2008,2010,/players/l/landrca01.html
7892,Sacramento Kings,2010,2015,/players/l/landrca01.html
7893,New Orleans Hornets,2011,2012,/players/l/landrca01.html
7894,Golden State Warriors,2013,2013,/players/l/landrca01.html
7895,Philadelphia 76ers,2016,2016,/players/l/landrca01.html
7896,New York Knicks,2010,2010,/players/l/landrma01.html
7897,Boston Celtics,2010,2010,/players/l/landrma01.html
7898,Chicago Bulls,1978,1980,/players/l/landsma01.html
7899,Los Angeles Lakers,1980,1983,/players/l/landsma01.html
7900,Atlanta Hawks,1984,1984,/players/l/landsma01.html
7901,Denver Nuggets,1989,1992,/players/l/laneje01.html
7902,Indiana Pacers,1992,1992,/players/l/laneje01.html
7903,Milwaukee Bucks,1992,1992,/players/l/laneje01.html
7904,Cleveland Cavaliers,1993,1993,/players/l/laneje01.html
7905,Phoenix Suns,1989,1992,/players/l/langan01.html
7906,Philadelphia 76ers,1993,1993,/players/l/langan01.html
7907,Atlanta Hawks,1994,1995,/players/l/langan01.html
7908,Atlanta Hawks,1996,1996,/players/l/langan01.html
7909,Minnesota Timberwolves,1996,1996,/players/l/langan01.html
7910,Milwaukee Bucks,1997,1998,/players/l/langan01.html
7911,Chicago Bulls,1999,1999,/players/l/langan01.html
7912,New York Knicks,2000,2000,/players/l/langan01.html
7913,Phoenix Suns,1995,1995,/players/l/langan02.html
7914,Cleveland Cavaliers,1996,1999,/players/l/langan02.html
7915,Miami Heat,1998,1998,/players/l/langan02.html
7916,Toronto Raptors,2000,2000,/players/l/langan02.html
7917,Philadelphia 76ers,2000,2000,/players/l/langan02.html
7918,Washington Wizards,2007,2007,/players/l/langja01.html
7919,Cleveland Cavaliers,2000,2002,/players/l/langdtr01.html
7920,San Antonio Spurs,2008,2008,/players/l/langfke01.html
7921,Boston Celtics,2020,2021,/players/l/langfro01.html
7922,Boston Celtics,2022,2022,/players/l/langfro01.html
7923,San Antonio Spurs,2022,2022,/players/l/langfro01.html
7924,Houston Rockets,2001,2002,/players/l/langhda01.html
7925,Phoenix Suns,2003,2003,/players/l/langhda01.html
7926,Golden State Warriors,2004,2004,/players/l/langhda01.html
7927,Milwaukee Bucks,2004,2004,/players/l/langhda01.html
7928,Detroit Pistons,1971,1980,/players/l/laniebo01.html
7929,Milwaukee Bucks,1980,1984,/players/l/laniebo01.html
7930,San Diego Rockets,1969,1971,/players/l/lantzst01.html
7931,Houston Rockets,1972,1972,/players/l/lantzst01.html
7932,Detroit Pistons,1973,1974,/players/l/lantzst01.html
7933,New Orleans Jazz,1975,1975,/players/l/lantzst01.html
7934,Los Angeles Lakers,1975,1976,/players/l/lantzst01.html
7935,San Antonio Spurs,2017,2017,/players/l/laproni01.html
7936,Chicago Packers,1962,1962,/players/l/laresyo01.html
7937,Philadelphia Warriors,1962,1962,/players/l/laresyo01.html
7938,Dallas Mavericks,2014,2014,/players/l/larkish01.html
7939,New York Knicks,2015,2015,/players/l/larkish01.html
7940,Brooklyn Nets,2016,2016,/players/l/larkish01.html
7941,Boston Celtics,2018,2018,/players/l/larkish01.html
7942,Chicago Bulls,1976,1976,/players/l/laskojo01.html
7943,Chicago Bulls,1977,1977,/players/l/laskojo01.html
7944,Golden State Warriors,2008,2008,/players/l/lasmest01.html
7945,Miami Heat,2008,2008,/players/l/lasmest01.html
7946,San Francisco Warriors,1968,1968,/players/l/lattida01.html
7947,Phoenix Suns,1969,1969,/players/l/lattida01.html
7948,Pittsburgh Condors,1971,1972,/players/l/lattida01.html
7949,Memphis Tams,1973,1973,/players/l/lattida01.html
7950,Atlanta Hawks,1997,1997,/players/l/laudepr01.html
7951,Denver Nuggets,1998,1998,/players/l/laudepr01.html
7952,Milwaukee Bucks,1978,1978,/players/l/laureri01.html
7953,Milwaukee Bucks,1978,1978,/players/l/laureri01.html
7954,Sheboygan Red Skins,1950,1950,/players/l/lautewa01.html
7955,Denver Nuggets,2015,2016,/players/l/lauvejo01.html
7956,Oklahoma City Thunder,2017,2017,/players/l/lauvejo01.html
7957,Chicago Bulls,2017,2017,/players/l/lauvejo01.html
7958,San Antonio Spurs,2018,2018,/players/l/lauvejo01.html
7959,Boston Celtics,1950,1950,/players/l/lavelto01.html
7960,Boston Celtics,1950,1950,/players/l/lavelto01.html
7961,New York Knicks,1951,1951,/players/l/lavelto01.html
7962,New York Knicks,1951,1951,/players/l/lavelto01.html
7963,Indianapolis Olympians,1951,1953,/players/l/lavoybo01.html
7964,Milwaukee Hawks,1954,1954,/players/l/lavoybo01.html
7965,Syracuse Nationals,1954,1954,/players/l/lavoybo01.html
7966,Atlanta Hawks,2008,2009,/players/l/lawac01.html
7967,Golden State Warriors,2010,2010,/players/l/lawac01.html
7968,Charlotte Bobcats,2010,2010,/players/l/lawac01.html
7969,Chicago Bulls,2010,2010,/players/l/lawac01.html
7970,Memphis Grizzlies,2011,2011,/players/l/lawac01.html
7971,Golden State Warriors,2011,2011,/players/l/lawac01.html
7972,Orlando Magic,2020,2020,/players/l/lawvi01.html
7973,Phoenix Suns,2011,2011,/players/l/lawalga01.html
7974,Detroit Pistons,1981,1981,/players/l/lawreed01.html
7975,Orlando Magic,1998,1998,/players/l/lawsoja01.html
7976,Denver Nuggets,2010,2015,/players/l/lawsoty01.html
7977,Houston Rockets,2016,2016,/players/l/lawsoty01.html
7978,Indiana Pacers,2016,2016,/players/l/lawsoty01.html
7979,Sacramento Kings,2017,2017,/players/l/lawsoty01.html
7980,Washington Wizards,2018,2018,/players/l/lawsoty01.html
7981,Portland Trail Blazers,2017,2019,/players/l/laymaja01.html
7982,Minnesota Timberwolves,2020,2022,/players/l/laymaja01.html
7983,Phoenix Suns,1972,1973,/players/l/laytomo01.html
7984,Portland Trail Blazers,1974,1974,/players/l/laytomo01.html
7985,Memphis Tams,1974,1974,/players/l/laytomo01.html
7986,New York Knicks,1977,1977,/players/l/laytomo01.html
7987,San Antonio Spurs,1978,1978,/players/l/laytomo01.html
7988,Brooklyn Nets,2017,2021,/players/l/leverca01.html
7989,Indiana Pacers,2021,2022,/players/l/leverca01.html
7990,Cleveland Cavaliers,2022,2022,/players/l/leverca01.html
7991,Indiana Pacers,2018,2020,/players/l/leaftj01.html
7992,Portland Trail Blazers,2021,2021,/players/l/leaftj01.html
7993,Kentucky Colonels,1969,1969,/players/l/leaksma01.html
7994,New York Nets,1969,1969,/players/l/leaksma01.html
7995,Dallas Chaparrals,1969,1970,/players/l/leaksma01.html
7996,Texas Chaparrals,1971,1971,/players/l/leaksma01.html
7997,New York Nets,1971,1972,/players/l/leaksma01.html
7998,Utah Stars,1972,1972,/players/l/leaksma01.html
7999,The Floridians,1972,1972,/players/l/leaksma01.html
8000,Philadelphia 76ers,1973,1973,/players/l/leaksma01.html
8001,Capital Bullets,1974,1974,/players/l/leaksma01.html
8002,Philadelphia Warriors,1957,1957,/players/l/learha01.html
8003,Houston Rockets,1980,1989,/players/l/leaveal01.html
8004,San Antonio Spurs,1990,1990,/players/l/leboje01.html
8005,Utah Jazz,1989,1990,/players/l/leckner01.html
8006,Sacramento Kings,1991,1991,/players/l/leckner01.html
8007,Charlotte Hornets,1991,1997,/players/l/leckner01.html
8008,Philadelphia 76ers,1994,1994,/players/l/leckner01.html
8009,Detroit Pistons,1995,1996,/players/l/leckner01.html
8010,Vancouver Grizzlies,1997,1997,/players/l/leckner01.html
8011,Phoenix Suns,2020,2020,/players/l/lecquja01.html
8012,Indiana Pacers,2021,2021,/players/l/lecquja01.html
8013,Dallas Mavericks,2014,2014,/players/l/ledori01.html
8014,Dallas Mavericks,2015,2015,/players/l/ledori01.html
8015,New York Knicks,2015,2015,/players/l/ledori01.html
8016,Atlanta Hawks,1979,1979,/players/l/leebu01.html
8017,Cleveland Cavaliers,1979,1980,/players/l/leebu01.html
8018,Los Angeles Lakers,1980,1980,/players/l/leebu01.html
8019,San Francisco Warriors,1967,1971,/players/l/leecl01.html
8020,Golden State Warriors,1972,1974,/players/l/leecl01.html
8021,Atlanta Hawks,1975,1975,/players/l/leecl01.html
8022,Philadelphia 76ers,1975,1976,/players/l/leecl01.html
8023,Orlando Magic,2009,2009,/players/l/leeco01.html
8024,New Jersey Nets,2010,2010,/players/l/leeco01.html
8025,Houston Rockets,2011,2012,/players/l/leeco01.html
8026,Boston Celtics,2013,2014,/players/l/leeco01.html
8027,Memphis Grizzlies,2014,2016,/players/l/leeco01.html
8028,Charlotte Hornets,2016,2016,/players/l/leeco01.html
8029,New York Knicks,2017,2019,/players/l/leeco01.html
8030,Dallas Mavericks,2019,2020,/players/l/leeco01.html
8031,Atlanta Hawks,2018,2018,/players/l/leeda03.html
8032,Golden State Warriors,2019,2022,/players/l/leeda03.html
8033,Oakland Oaks,1968,1968,/players/l/leeda01.html
8034,New York Knicks,2006,2010,/players/l/leeda02.html
8035,Golden State Warriors,2011,2015,/players/l/leeda02.html
8036,Boston Celtics,2016,2016,/players/l/leeda02.html
8037,Dallas Mavericks,2016,2016,/players/l/leeda02.html
8038,San Antonio Spurs,2017,2017,/players/l/leeda02.html
8039,New Jersey Nets,1992,1993,/players/l/leedo01.html
8040,Sacramento Kings,1995,1995,/players/l/leedo01.html
8041,Detroit Pistons,1961,1962,/players/l/leege01.html
8042,San Francisco Warriors,1963,1964,/players/l/leege01.html
8043,San Francisco Warriors,1965,1968,/players/l/leege01.html
8044,San Diego Conquistadors,1975,1975,/players/l/leegr01.html
8045,Portland Trail Blazers,1976,1976,/players/l/leegr01.html
8046,Cleveland Cavaliers,1986,1987,/players/l/leeke01.html
8047,New Jersey Nets,1989,1989,/players/l/leeke01.html
8048,New Jersey Nets,1991,1991,/players/l/leeku01.html
8049,Minnesota Timberwolves,2012,2012,/players/l/leema01.html
8050,Minnesota Timberwolves,2013,2013,/players/l/leema01.html
8051,Philadelphia 76ers,2015,2015,/players/l/leema01.html
8052,San Diego Clippers,1982,1982,/players/l/leero02.html
8053,Phoenix Suns,1977,1979,/players/l/leero01.html
8054,New Orleans Jazz,1979,1979,/players/l/leero01.html
8055,Atlanta Hawks,1980,1980,/players/l/leero01.html
8056,Detroit Pistons,1980,1982,/players/l/leero01.html
8057,Milwaukee Bucks,1973,1974,/players/l/leeru01.html
8058,New Orleans Jazz,1975,1975,/players/l/leeru01.html
8059,Detroit Pistons,2021,2022,/players/l/leesa01.html
8060,Boston Celtics,1950,1951,/players/l/leedeed01.html
8061,Cleveland Rebels,1947,1947,/players/l/lefkoha01.html
8062,Phoenix Suns,1990,1990,/players/l/legleti01.html
8063,Denver Nuggets,1991,1991,/players/l/legleti01.html
8064,Utah Jazz,1993,1993,/players/l/legleti01.html
8065,Dallas Mavericks,1993,1994,/players/l/legleti01.html
8066,Golden State Warriors,1995,1995,/players/l/legleti01.html
8067,Washington Bullets,1996,1997,/players/l/legleti01.html
8068,Washington Wizards,1998,1999,/players/l/legleti01.html
8069,Golden State Warriors,2000,2000,/players/l/legleti01.html
8070,St. Louis Hawks,1968,1968,/players/l/lehmage01.html
8071,Atlanta Hawks,1969,1969,/players/l/lehmage01.html
8072,Los Angeles Stars,1969,1970,/players/l/lehmage01.html
8073,New York Nets,1970,1970,/players/l/lehmage01.html
8074,Miami Floridians,1970,1970,/players/l/lehmage01.html
8075,Carolina Cougars,1971,1971,/players/l/lehmage01.html
8076,Carolina Cougars,1972,1972,/players/l/lehmage01.html
8077,Memphis Pros,1972,1972,/players/l/lehmage01.html
8078,Memphis Tams,1974,1974,/players/l/lehmage01.html
8079,Pittsburgh Pipers,1968,1968,/players/l/leiboba01.html
8080,New Jersey Americans,1968,1968,/players/l/leiboba01.html
8081,New Jersey Americans,1968,1968,/players/l/leiboba01.html
8082,Oakland Oaks,1968,1968,/players/l/leiboba01.html
8083,New Orleans Pelicans,2018,2018,/players/l/lemonwa01.html
8084,Chicago Bulls,2019,2019,/players/l/lemonwa01.html
8085,Phoenix Suns,2014,2018,/players/l/lenal01.html
8086,Atlanta Hawks,2019,2020,/players/l/lenal01.html
8087,Sacramento Kings,2020,2022,/players/l/lenal01.html
8088,Toronto Raptors,2021,2021,/players/l/lenal01.html
8089,Washington Wizards,2021,2021,/players/l/lenal01.html
8090,Miami Heat,1996,1996,/players/l/lenarvo01.html
8091,Miami Heat,1997,2000,/players/l/lenarvo01.html
8092,Denver Nuggets,2001,2002,/players/l/lenarvo01.html
8093,Toronto Raptors,2003,2003,/players/l/lenarvo01.html
8094,Denver Nuggets,2004,2006,/players/l/lenarvo01.html
